claim_id,claim_type,claim_text,evidence_strength,key_numbers,must_cite,required_wording_guardrail,risk_if_overstated
C1,safe_main,The work provides a reliability-selection framework that improves external pose selection within a covered public PoseBench prediction pool under leave-one-dataset-out evaluation.,strong_with_coverage_caveat,"public-pool n=489/702, success=0.4314928425357873, median RMSD=2.9325211932007296",results/tables/posebench_external/posebench_external_selection_summary.csv; docs/posebench_external_selection_experiment.md,Say public-prediction-pool or covered external pool; do not imply all 702 cases have public predictions.,reviewer may reject due to hidden denominator mismatch
C2,safe_main,The external denominator is frozen and audited with full Vina/Meeko and DiffDock-L controlled baselines plus explicit failure accounting.,strong,Vina success=0.0202020202020202; DiffDock-L success=0.3817663817663818; DiffDock ok=692/702,docs/external_controlled_baseline_meta_report.md; docs/posebench_diffdock_default_s10_t20_failure_audit.md,Report strict all-attempt metrics and runnable metrics separately where applicable.,minor if denominator language stays explicit
C3,safe_main,PoseX-CD stress testing confirms the classical-to-neural baseline gap under cross-docking conditions.,strong_for_baseline_gap,PoseX Vina success=0.0068649885583524; PoseX DiffDock-L success=0.455030487804878,results/tables/posex_cd/posex_cd_vina_summary_full_vina_exh4.csv; results/tables/posex_cd/posex_cd_diffdock_l_gpu_default_s10_t20_summary.csv,"Use as a stress-test baseline result, not as completed proposed-method validation.",reviewer will ask for proposed method and cofolding outputs on PoseX-CD
C4,safe_supporting,Calibration-bound selective prediction and evidence fusion provide reliability controls beyond raw docking scores.,moderate_to_strong,calibration-bound rows=36; evidence-fusion rows=288,docs/calibration_bound_selective_risk_report.md; docs/evidence_fusion_method_report.md,"Phrase as reliability control/selection, not as molecular generator superiority.",reviewer may ask whether the base pose generator itself improves
C5,safe_supporting,Method-heldout validation demonstrates that the reliability model is not merely memorizing one cofolding method's artifacts.,moderate,method-heldout rows=35,docs/method_heldout_reliability_report.md; results/tables/gap_closure/method_heldout_failure_detector_all7_perbin300_clean.csv,"Say method-heldout within Runs N' Poses-derived data, not unseen wet-lab generalization.",reviewer may ask for new-protein/new-ligand fully external experiments
C6,safe_supporting,Boltz-1 full-receptor sequence+SMILES cofolding behaves as a useful stress baseline because most successful executions exhibit severe pocket/global drift under strict pose evaluation.,strong_stress_baseline_with_metric_sanity_caveat,Boltz full-receptor attempted=702/702; success=0.0; gap=pass_with_failures,docs/posebench_boltz1_full_r1_s20_report.md; docs/posebench_boltz1_full_r1_s20_drift_taxonomy.md,"Call it a completed full-receptor cofolding stress baseline, not a docking-tuned Boltz benchmark.",high if presented as a tuned docking SOTA comparison rather than a full-receptor cofolding stress test
C8,safe_main,Chai-1 full-receptor cofolding has been evaluated as a completed external baseline under strict PoseBench-702 denominator accounting with symmetry-aware pocket-frame RMSD.,strong_baseline_with_failure_attribution_caveat,Chai attempted=702/702; ok=635; strict success=0.3817663817663818; oracle=0.4586894586894587; median pocket RMSD=2.868123584547368,docs/posebench_chai1_gpu_default_s5_t200_symmetry_metric_refinement.md; docs/posebench_chai1_gpu_rescue_waterfall.md; docs/external_controlled_baseline_meta_report.md,"Use the full-receptor row as the fair Chai baseline; describe oracle crop/window rescue only as failure attribution, not as a comparable baseline.",high if oracle rescue coverage is presented as fair Chai performance
F1,forbidden_now,The proposed method is broad SOTA on PoseBench-702 against all strong docking/cofolding baselines.,unsupported,proposed controlled status=pass_with_boundary,results/tables/posebench_external/external_controlled_baseline_gap_matrix.csv,Do not write this until proposed full controlled inference and cofolding full baselines are complete.,likely major rejection
F2,forbidden_now,The MGD hybrid full-coverage selector outperforms DiffDock-L on PoseBench-702.,contradicted,hybrid success=0.3532763532763532; DiffDock-L success=0.3817663817663818,results/tables/posebench_external/external_controlled_baseline_contrasts.csv,Instead say it is competitive as a reliability-selection baseline with coverage/fallback caveats.,easy numerical rebuttal by reviewer
F3,forbidden_now,The method is fully validated on PoseX-CD.,unsupported_for_proposed_method,"PoseX has Vina and DiffDock-L full baselines, but proposed/cofolding outputs are open",results/tables/posebench_external/external_controlled_baseline_gap_matrix.csv,"Say PoseX-CD baselines/stress protocol are completed, while proposed method is queued.",reviewer will flag missing experiment
C7,safe_supporting,"The paper includes main-text qualitative case taxonomy to explain success, rescued, and failure modes.",strong_for_interpretability,case taxonomy rows=5,docs/case_figure_readiness_report.md; docs/case_figure_contact_sheet.md,"Use for mechanistic explanation, not as independent efficacy proof.",low
