chai1_import_ok,chai_lab_import_ok,chai_lab_source_tree,chai_lab_version,chain_ligand_cutoff,crop_candidate_chains,dataset,device,gpu,gpu_blocker_d_state_boltz_predict_count,gpu_blocker_preview,input_fasta,ligand_file,ligand_heavy_atoms,ligand_sanitize_mode,ligand_smiles,max_total_aa,method,mol_id,n_prediction_cif,n_protein_chains,n_score_npz,output_dir,pocket_chain_crop,prediction_cifs,protein_lengths,protein_pdb,runtime_sec,score_npz,selected_chain_ids,selected_total_aa,status,tag,use_esm_embeddings,status_json,exception,exception_type,failure_class,rescue_recommendation
True,True,True,0.6.1,12.0,A:1014:2.426,astex_diverse,,3,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_crop_s5_t200/inputs/1HWW_SWA_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,12,sanitized,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,1280,chai1_gpu,1HWW_SWA,,1,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_crop_s5_t200,True,,A:1014,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,48.946,,A,1014,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,A:350:2.515;B:346:2.742;D:349:11.226;C:350:14.915;H:347:33.939;F:347:45.318;G:342:55.037;E:339:57.471,astex_diverse,,4,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_crop_s5_t200/inputs/1OF6_DTY_chai.fasta,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligand.sdf,13,sanitized,N[C@@H](Cc1ccc(O)cc1)C(=O)O,1280,chai1_gpu,1OF6_DTY,,3,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_crop_s5_t200,True,,A:350;B:346;D:349,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_protein.pdb,52.934,,A;B;D,1045,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.21 GiB is free. Including non-PyTorch memory, this process has 22.28 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 111.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,B:595:2.864;A:583:3.317,astex_diverse,,6,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_crop_s5_t200/inputs/1T9B_1CS_chai.fasta,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_ligand.sdf,23,sanitized,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,1280,chai1_gpu,1T9B_1CS,,2,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_crop_s5_t200,True,,A:583;B:595,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_protein.pdb,49.551,,A;B,1178,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,A:539:2.578;B:539:3.515,dockgen,,4,0,,results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_crop_s5_t200/inputs/1pj2_1_FUM_0_chai.fasta,external/PoseBench/data/dockgen_set/1pj2_1_FUM_0/1pj2_1_FUM_0_ligand.pdb,8,sanitized,OC(O)CCC(O)O,1280,chai1_gpu,1pj2_1_FUM_0,,2,,results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_crop_s5_t200,True,,A:539;B:539,external/PoseBench/data/dockgen_set/1pj2_1_FUM_0/1pj2_1_FUM_0_protein_processed.pdb,50.634,,A;B,1078,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/dockgen/1pj2_1_FUM_0/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,B:538:2.539;A:538:3.620,dockgen,,5,0,,results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_crop_s5_t200/inputs/1pj4_1_FUM_1_chai.fasta,external/PoseBench/data/dockgen_set/1pj4_1_FUM_1/1pj4_1_FUM_1_ligand.pdb,8,sanitized,OC(O)CCC(O)O,1280,chai1_gpu,1pj4_1_FUM_1,,2,,results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_crop_s5_t200,True,,A:538;B:538,external/PoseBench/data/dockgen_set/1pj4_1_FUM_1/1pj4_1_FUM_1_protein_processed.pdb,48.298,,A;B,1076,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/dockgen/1pj4_1_FUM_1/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,B:1296:2.643,dockgen,,7,0,,results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_crop_s5_t200/inputs/1v97_1_MTE_1_chai.fasta,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_ligand.pdb,24,sanitized,NC1NC(O)[C@@H]2N[C@H]3C(S)C(S)[C@@H](CO[PH](O)(O)O)O[C@H]3NC2N1,1280,chai1_gpu,1v97_1_MTE_1,,1,,results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_crop_s5_t200,True,,B:1296,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_protein_processed.pdb,49.208,,B,1296,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/dockgen/1v97_1_MTE_1/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,A:1289:2.731,dockgen,,6,0,,results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_crop_s5_t200/inputs/3uni_1_SAL_0_chai.fasta,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_ligand.pdb,10,sanitized,OC(O)C1CCCCC1O,1280,chai1_gpu,3uni_1_SAL_0,,1,,results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_crop_s5_t200,True,,A:1289,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_protein_processed.pdb,48.568,,A,1289,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/dockgen/3uni_1_SAL_0/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,C:552:2.324;D:550:6.024,dockgen,,3,0,,results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_crop_s5_t200/inputs/4bc9_1_CNV-FAD_0_chai.fasta,external/PoseBench/data/dockgen_set/4bc9_1_CNV-FAD_0/4bc9_1_CNV-FAD_0_ligand.pdb,57,sanitized,CC1CC2[C@H](CC1C)N(C(C)CN)C1C(O)NC(O)NC1N2C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(N)NCN[C@H]32)[C@H](O)[C@@H]1O,1280,chai1_gpu,4bc9_1_CNV-FAD_0,,2,,results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_crop_s5_t200,True,,C:552;D:550,external/PoseBench/data/dockgen_set/4bc9_1_CNV-FAD_0/4bc9_1_CNV-FAD_0_protein_processed.pdb,52.743,,C;D,1102,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/dockgen/4bc9_1_CNV-FAD_0/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,A:1028:2.570,dockgen,,4,0,,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_crop_s5_t200/inputs/4tvd_1_BGC_4_chai.fasta,external/PoseBench/data/dockgen_set/4tvd_1_BGC_4/4tvd_1_BGC_4_ligand.pdb,12,sanitized,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1280,chai1_gpu,4tvd_1_BGC_4,,1,,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_crop_s5_t200,True,,A:1028,external/PoseBench/data/dockgen_set/4tvd_1_BGC_4/4tvd_1_BGC_4_protein_processed.pdb,49.23,,A,1028,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_BGC_4/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,A:1028:2.688,dockgen,,5,0,,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_crop_s5_t200/inputs/4tvd_1_GLC_0_chai.fasta,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_ligand.pdb,12,sanitized,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1280,chai1_gpu,4tvd_1_GLC_0,,1,,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_crop_s5_t200,True,,A:1028,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_protein_processed.pdb,50.05,,A,1028,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/dockgen/4tvd_1_GLC_0/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
