dataset,mol_id,status,failure_class,failure_scope,recommended_reporting_action,runtime_sec,returncode,status_json,protein_pdb,ligand_file,log_excerpt,expected_size,got_size,bad_atom_index,bad_atom_symbol,bad_atom_valence,reported_receptor_size
dockgen,1v97_1_MTE_1,failed_no_predictions,esm_embedding_length_mismatch,model_input_limit,report as unsupported by this DiffDock-L/ESM configuration; rerun with explicit pocket/chain cropping if used for a leaderboard,20.9,0,results/posebench_702_predictions/diffdock_l_gpu/dockgen/1v97_1_MTE_1/default_s10_t20/run_status.json,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_protein_processed.pdb,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_ligand.pdb,"Generating ESM language model embeddings Processing 1 of 1 batches (1 sequences) Skipping 1v97_1_MTE_1 because of the error: Sizes of tensors must match except in dimension 1. Expected size 1296 but got size 1022 for tensor number 1 in the list. 0it [00:00, ?it/s][2026-May-18 02:45:54 CST] WARNING -The test dataset did not contain 1v97_1_MTE_1 for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_ligand.pdb and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockg",1296.0,1022.0,,,,
dockgen,3uni_1_SAL_0,failed_no_predictions,esm_embedding_length_mismatch,model_input_limit,report as unsupported by this DiffDock-L/ESM configuration; rerun with explicit pocket/chain cropping if used for a leaderboard,20.739,0,results/posebench_702_predictions/diffdock_l_gpu/dockgen/3uni_1_SAL_0/default_s10_t20/run_status.json,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_ligand.pdb,"Generating ESM language model embeddings Processing 1 of 1 batches (1 sequences) Skipping 3uni_1_SAL_0 because of the error: Sizes of tensors must match except in dimension 1. Expected size 1289 but got size 1022 for tensor number 1 in the list. 0it [00:00, ?it/s][2026-May-18 03:19:16 CST] WARNING -The test dataset did not contain 3uni_1_SAL_0 for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockgen_set/3uni_1_SAL_0/3uni_1_SAL_0_ligand.pdb and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockg",1289.0,1022.0,,,,
dockgen,4tvd_1_BGC_4,failed_no_predictions,esm_embedding_length_mismatch,model_input_limit,report as unsupported by this DiffDock-L/ESM configuration; rerun with explicit pocket/chain cropping if used for a leaderboard,24.51,0,results/posebench_702_predictions/diffdock_l_gpu/dockgen/4tvd_1_BGC_4/default_s10_t20/run_status.json,external/PoseBench/data/dockgen_set/4tvd_1_BGC_4/4tvd_1_BGC_4_protein_processed.pdb,external/PoseBench/data/dockgen_set/4tvd_1_BGC_4/4tvd_1_BGC_4_ligand.pdb,"Generating ESM language model embeddings Processing 1 of 1 batches (1 sequences) Skipping 4tvd_1_BGC_4 because of the error: Sizes of tensors must match except in dimension 1. Expected size 1028 but got size 1022 for tensor number 1 in the list. 0it [00:00, ?it/s][2026-May-18 03:33:51 CST] WARNING -The test dataset did not contain 4tvd_1_BGC_4 for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockgen_set/4tvd_1_BGC_4/4tvd_1_BGC_4_ligand.pdb and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockg",1028.0,1022.0,,,,
dockgen,4tvd_1_GLC_0,failed_no_predictions,esm_embedding_length_mismatch,model_input_limit,report as unsupported by this DiffDock-L/ESM configuration; rerun with explicit pocket/chain cropping if used for a leaderboard,23.54,0,results/posebench_702_predictions/diffdock_l_gpu/dockgen/4tvd_1_GLC_0/default_s10_t20/run_status.json,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_ligand.pdb,"Generating ESM language model embeddings Processing 1 of 1 batches (1 sequences) Skipping 4tvd_1_GLC_0 because of the error: Sizes of tensors must match except in dimension 1. Expected size 1028 but got size 1022 for tensor number 1 in the list. 0it [00:00, ?it/s][2026-May-18 03:34:14 CST] WARNING -The test dataset did not contain 4tvd_1_GLC_0 for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockgen_set/4tvd_1_GLC_0/4tvd_1_GLC_0_ligand.pdb and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockg",1028.0,1022.0,,,,
dockgen,6a71_1_9UX_0,failed_nonzero,ligand_graph_missing_coordinates,ligand_preparation,retain as failed graph construction in strict denominator; optional conformer regeneration must be declared separately,27.982,1,results/posebench_702_predictions/diffdock_l_gpu/dockgen/6a71_1_9UX_0/default_s10_t20/run_status.json,external/PoseBench/data/dockgen_set/6a71_1_9UX_0/6a71_1_9UX_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6a71_1_9UX_0/6a71_1_9UX_0_ligand.pdb,"nan 0it [00:00, ?it/s] 0it [00:00, ?it/s] Traceback (most recent call last): File ""<REMOTE_PROJECT_ROOT>/envs/diffdock/lib/python3.9/site-packages/torch_geometric/data/storage.py"", line 62, in __getattr__ return self[key] File ""<REMOTE_PROJECT_ROOT>/envs/diffdock/lib/python3.9/site-packages/torch_geometric/data/storage.py"", line 85, in __getitem__ return self._mapping[key] KeyError: 'pos' During handling of the above exception, another exception occurred: Traceback (most recent call last): File ",,,,,,
dockgen,6nco_1_KQP_0,failed_no_predictions,ligand_sanitization_failure,ligand_preparation,retain as failed preparation in strict denominator; optional manual ligand repair must be declared separately,19.434,0,results/posebench_702_predictions/diffdock_l_gpu/dockgen/6nco_1_KQP_0/default_s10_t20/run_status.json,external/PoseBench/data/dockgen_set/6nco_1_KQP_0/6nco_1_KQP_0_protein_processed.pdb,external/PoseBench/data/dockgen_set/6nco_1_KQP_0/6nco_1_KQP_0_ligand.pdb,"Generating ESM language model embeddings Processing 1 of 1 batches (1 sequences) Failed to read molecule <REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockgen_set/6nco_1_KQP_0/6nco_1_KQP_0_ligand.pdb We are skipping it. The reason is the exception: ('RDKit could not read the molecule ', '<REMOTE_PROJECT_ROOT>/external/PoseBench/data/dockgen_set/6nco_1_KQP_0/6nco_1_KQP_0_ligand.pdb') 0it [00:00, ?it/s][2026-May-18 03:56:32 CST] WARNING -Failed to process molecule: <REMOTE_PROJECT_ROOT>/external/P",,,18.0,C,5.0,
posebusters_benchmark,7D6O_MTE,failed_no_predictions,esm_embedding_length_mismatch,model_input_limit,report as unsupported by this DiffDock-L/ESM configuration; rerun with explicit pocket/chain cropping if used for a leaderboard,20.534,0,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/7D6O_MTE/default_s10_t20/run_status.json,external/PoseBench/data/posebusters_benchmark_set/7D6O_MTE/7D6O_MTE_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7D6O_MTE/7D6O_MTE_ligand.sdf,"Generating ESM language model embeddings Processing 1 of 1 batches (2 sequences) Skipping 7D6O_MTE because of the error: Sizes of tensors must match except in dimension 1. Expected size 2573 but got size 2044 for tensor number 1 in the list. 0it [00:00, ?it/s][2026-May-18 03:23:11 CST] WARNING -The test dataset did not contain 7D6O_MTE for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebusters_benchmark_set/7D6O_MTE/7D6O_MTE_ligand.sdf and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebus",2573.0,2044.0,,,,
posebusters_benchmark,7FRX_O88,failed_no_predictions,receptor_too_large,model_input_limit,report as unsupported by this DiffDock-L configuration; pocket-crop or chain-selection rerun is a possible sensitivity check,23.107,0,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/7FRX_O88/default_s10_t20/run_status.json,external/PoseBench/data/posebusters_benchmark_set/7FRX_O88/7FRX_O88_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7FRX_O88/7FRX_O88_ligand.sdf,"Generating ESM language model embeddings Processing 1 of 1 batches (8 sequences) Skipping 7FRX_O88 because of the error: The receptor is too large 3405 0it [00:00, ?it/s][2026-May-18 03:31:14 CST] WARNING -The test dataset did not contain 7FRX_O88 for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebusters_benchmark_set/7FRX_O88/7FRX_O88_ligand.sdf and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebusters_benchmark_set/7FRX_O88/7FRX_O88_protein.pdb. We are skipping this complex. 1it [00:01",,,,,,3405.0
posebusters_benchmark,7M31_TDR,failed_no_predictions,receptor_too_large,model_input_limit,report as unsupported by this DiffDock-L configuration; pocket-crop or chain-selection rerun is a possible sensitivity check,25.67,0,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/7M31_TDR/default_s10_t20/run_status.json,external/PoseBench/data/posebusters_benchmark_set/7M31_TDR/7M31_TDR_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7M31_TDR/7M31_TDR_ligand.sdf,"Generating ESM language model embeddings Processing 1 of 2 batches (4 sequences) Processing 2 of 2 batches (1 sequences) Skipping 7M31_TDR because of the error: The receptor is too large 4047 0it [00:00, ?it/s][2026-May-18 03:46:58 CST] WARNING -The test dataset did not contain 7M31_TDR for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebusters_benchmark_set/7M31_TDR/7M31_TDR_ligand.sdf and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebusters_benchmark_set/7M31_TDR/7M31_TDR_protein.pdb. ",,,,,,4047.0
posebusters_benchmark,8F4J_PHO,failed_no_predictions,receptor_too_large,model_input_limit,report as unsupported by this DiffDock-L configuration; pocket-crop or chain-selection rerun is a possible sensitivity check,22.559,0,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/8F4J_PHO/default_s10_t20/run_status.json,external/PoseBench/data/posebusters_benchmark_set/8F4J_PHO/8F4J_PHO_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8F4J_PHO/8F4J_PHO_ligand.sdf,"Generating ESM language model embeddings Processing 1 of 3 batches (29 sequences) Processing 2 of 3 batches (9 sequences) Processing 3 of 3 batches (2 sequences) Skipping 8F4J_PHO because of the error: The receptor is too large 5302 0it [00:00, ?it/s][2026-May-18 04:58:09 CST] WARNING -The test dataset did not contain 8F4J_PHO for <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebusters_benchmark_set/8F4J_PHO/8F4J_PHO_ligand.sdf and <REMOTE_PROJECT_ROOT>/external/PoseBench/data/posebusters_benc",,,,,,5302.0
