family,evidence_block,claim,comparison,n_cases,effect_metric,effect_value,rescued,harmed,test,raw_p,direction,claim_use,holm_p_all,bh_fdr_p_all,holm_p_within_family,bh_fdr_p_within_family,passes_holm_0_05_all,passes_bh_0_05_all,passes_holm_0_05_family
cross_docking_exploratory,PoseX-CD stress,PoseX-CD is retained as a stress-test/headroom analysis rather than a primary SOTA claim.,two_source_oracle_upper_bound vs DiffDock-L,1312,paired success delta,0.0038109756097561,5,0,one-sided exact paired binomial / McNemar sign test,0.03125,greater,exploratory/control,0.125,0.03794642857142857,0.0625,0.0625,False,True,False
cross_docking_exploratory,PoseX-CD stress,PoseX-CD is retained as a stress-test/headroom analysis rather than a primary SOTA claim.,MGD-lite_confidence_gate vs DiffDock-L,1312,paired success delta,-0.03125,0,41,one-sided exact paired binomial / McNemar sign test,1.0,greater,exploratory/control,1.0,1.0,1.0,1.0,False,False,False
external_subset_exploratory,PocketVina subset,"PocketVina native-pocket subset is an additional external docking stress check, not a primary method claim.",PocketVina-GPU native-pocket subset vs Vina/Meeko full on matched subset,200,paired success delta,0.0,1,1,one-sided exact paired binomial exploratory subset test,0.75,greater,exploratory subset only,1.0,0.796875,0.75,0.75,False,False,False
latest_baseline_exploratory,PoseBench-702 extended latest-baseline stack,The extended selector remains above DiffDock after adding Boltz-2 and Protenix candidates.,extended_lodo_hgb_no_memory vs DiffDock-L default s10/t20,702,paired success delta,0.0698005698005698,69,20,one-sided exact paired binomial / McNemar sign test,8.884820300356943e-08,greater,exploratory/control,1.1550266390464027e-06,3.0208389021213606e-07,2.665446090107083e-07,2.665446090107083e-07,True,True,True
latest_baseline_exploratory,PoseBench-702 extended latest-baseline stack,The extended selector remains above DiffDock after adding Boltz-2 and Protenix candidates.,extended_lodo_hgb_full_memory vs DiffDock-L default s10/t20,702,paired success delta,0.0683760683760683,69,21,one-sided exact paired binomial / McNemar sign test,1.940908722028159e-07,greater,exploratory/control,2.3290904664337908e-06,5.499241379079784e-07,3.881817444056318e-07,2.9113630830422385e-07,True,True,True
latest_baseline_exploratory,PoseBench-702 extended latest-baseline stack,The extended selector remains above DiffDock after adding Boltz-2 and Protenix candidates.,extended_lodo_hgb_validity_aware vs DiffDock-L default s10/t20,702,paired success delta,0.0669515669515669,73,26,one-sided exact paired binomial / McNemar sign test,1.2420630697559885e-06,greater,exploratory/control,1.1178567627803897e-05,2.3461191317613114e-06,1.2420630697559885e-06,1.2420630697559885e-06,True,True,True
main_confirmatory,PoseBench-702 controlled selector,The controlled evidence-fusion selector improves full-denominator PoseBench success over strong single-source baselines.,lodo_hgb_controlled_candidate_stack vs Vina/Meeko full,702,paired success delta,0.4287749287749288,311,10,one-sided exact paired binomial / McNemar sign test,1.3436794136860419e-78,greater,confirmatory,2.2842550032662713e-77,2.2842550032662713e-77,5.374717654744167e-78,5.374717654744167e-78,True,True,True
main_confirmatory,PoseBench-702 controlled selector,The controlled evidence-fusion selector improves full-denominator PoseBench success over strong single-source baselines.,lodo_hgb_controlled_candidate_stack vs lodo_method_prior,702,paired success delta,0.1011396011396011,100,29,one-sided exact paired binomial / McNemar sign test,2.46848631880612e-10,greater,confirmatory,3.455880846328568e-09,1.049106685492601e-09,7.40545895641836e-10,4.93697263761224e-10,True,True,True
main_confirmatory,PoseBench-702 controlled selector,The controlled evidence-fusion selector improves full-denominator PoseBench success over strong single-source baselines.,lodo_hgb_controlled_candidate_stack vs Chai-1 full receptor s5/t200,702,paired success delta,0.0669515669515669,78,31,one-sided exact paired binomial / McNemar sign test,7.733924871438956e-06,greater,confirmatory,5.413747410007269e-05,1.1952429346769295e-05,1.5467849742877912e-05,1.0311899828585275e-05,True,True,True
main_confirmatory,PoseBench-702 controlled selector,The controlled evidence-fusion selector improves full-denominator PoseBench success over strong single-source baselines.,lodo_hgb_controlled_candidate_stack vs DiffDock-L default s10/t20,702,paired success delta,0.0669515669515669,84,37,one-sided exact paired binomial / McNemar sign test,2.3164303287606523e-05,greater,confirmatory,0.00013898581972563915,3.281609632410924e-05,2.3164303287606523e-05,2.3164303287606523e-05,True,True,True
