"check_id","scope","status","source","value_in_source","value_in_manuscript","notes"
"writing_scaffold_removed","main_supp_tex","PASS","main.tex; supplementary.tex","no TODO/placeholder/camera-ready/private-ssh residue","clean post-final-closure text","Mechanical scan excludes legitimate ligand scaffold terminology"
"reference_list_completed","main_tex","PASS","main.tex bibliography","45 bibitems","expanded related work covers docking/cofolding/OOD/calibration/calibration_bound/fusion/molecular benchmark leakage/latest open baselines","References added as inline thebibliography entries"
"pdf_compile_main","main_pdf","PASS","pdflatex main.tex","main.pdf 10 pages","compiled","Only underfull/float-page warnings remain"
"pdf_compile_supplement","supp_pdf","PASS","pdflatex supplementary.tex","supplementary.pdf 12 pages","compiled","Only underfull/float-page warnings remain"
"posebench_vina_denominator","main_supp_tables","PASS","main_table_4_external_baselines.csv","14/702 = 0.019943","0.0199","Full denominator retained"
"posebench_mgd_lodo_denominator","main_supp_tables","PASS","main_table_4_external_baselines.csv","attempted 702; ok 693; success 0.4487179","702/693/0.4487","Full denominator retained"
"nested_low_similarity_rescue","main_supp_tables","PASS","main_table_3_rescue_ablation.csv","0.627459 all; 0.153409 low; 10 rescued; 2 harmed","0.6275/0.1534/10/2","Conservative nested claim aligned"
"fixed_pairwise_rescue","main_supp_tables","PASS","main_table_3_rescue_ablation.csv","11 rescued; 1 harmed; p=0.00634765625","11/1; p=0.006348","Supportive paired evidence aligned"
"calibration_bound_risk_control","main_supp_tables","PASS","supplementary calibration_bound table","targets 0.20/0.25/0.30","main reports 0.20 and 0.25; supplement reports all three","Fixed-budget and calibration_bound policies separated"
"memory_stratified_theory","main_supp_text","PASS","main Proposition 1; supplementary Proposition S1","memory-stratified split-calibration-bound selective-risk statement and proof sketch","formal statement and assumption checklist included","Strengthens submission-style method contribution without overclaiming arbitrary shift"
"posex_claim_boundary","main_supp_text","PASS","PoseX-CD section","stress context only","no SOTA claim","Avoids unsupported proposed-method PoseX claim"
"selector_family_controls","supp_tables","PASS","selector_family_audits/posebench_selector_family_summary.csv; posebench_selector_family_paired.csv","validity-aware HGB success 0.4530; no-memory HGB 0.4558; full-memory HGB 0.4487","supplement selector-family summary and paired tests","Negative control retained: memory features are not uniformly beneficial externally"
"feature_attribution_closure","supp_tables","PASS","final_closure_audits/feature_block_contribution.csv; top_feature_importance.csv","memory+structure blocks improve candidate-level AUROC; top feature shape_pocket_similarity drop 0.132150","supplement feature-block contribution and top-feature tables","Supports reliable fusion story without adding figures"
"latest_baseline_audit","supp_tables","PASS","final_closure_audits/latest_baseline_coverage_audit.csv","Vina/DiffDock-L/Chai-1/Boltz-1 completed; Boltz-2 and Protenix internal only; OpenFold3/PocketVina not used for numerical claims","supplement latest-baseline coverage audit","Prevents reviewer concern that emerging baselines are ignored or overclaimed"
"posex_mgd_lite_stress","supp_tables","PASS","selector_family_audits/posex_mgd_lite_summary.csv; posex_mgd_lite_paired.csv","DiffDock-first 0.4550; confidence-gate 0.4238; oracle 0.4588","supplement PoseX-CD MGD-lite diagnostic","Stress result documents limited selector headroom rather than claiming SOTA"
"group_conditional_calibration","supp_tables","PASS","selector_family_audits/group_conditional_calibration_by_similarity.csv; group_conditional_calibration_disparity.csv","risk-range drops from 0.2985 to 0.0701 at target risk 0.20","supplement group-conditional calibration_bound table","Mondrian control reduces disparity but exposes low-similarity abstention boundary"
"validity_aware_operating_point","supp_tables","PASS","selector_family_audits/validity_aware_operating_point.csv","rescued changed cases retain 1.0000 selected success; harmed case is flagged invalid","supplement validity-aware operating-point table","Links model selection to geometry validity and conservative fallback"
"biochemical_case_interpretation","supp_tables","PASS","selector_family_audits/biochemical_case_interpretation_table.csv","4 rescued cases and 1 harmed boundary case with RMSD, interaction F1, validity, and mapping-cost fields","supplement biochemical case table","Provides reviewer-readable structural case taxonomy without adding new figure style"
"statistical_protocol_closure","supp_tables","PASS","final_closure_audits/statistical_protocol_closure.csv","detector, selective prediction, rescue, external selector, PoseX stress, and structural validity mapped to controls","supplement statistical-protocol closure table","Makes claim-to-test mapping explicit"
"submission_extra_script_release","remote_local_sources","PASS","scripts/104_submission_extra_evidence.py","frozen CSV post-processing script mirrored locally and retained remotely","listed in supplementary source-data audit","Reproducible extra evidence generation"
"submission_final_script_release","remote_local_sources","PASS","scripts/105_final_closure_audits.py","final-closure script mirrored locally and retained remotely","listed in supplementary source-data audit","Reproducible final closure evidence generation"
"figure_style_unchanged_postfinal","figures","PASS","figs folder and plotting scripts","no plotting scripts or figure assets modified in final-closure pass","same visual style retained","This pass edited TeX, tables, notes, and audit files only"
"checksum_manifest_updated","notes","PASS","final_submission_artifact_checksums_2026-06-11_postfinal.csv","checksum manifest generated after final closure","available in notes","Regenerate only if figures, tables, or TeX change again"
