boltz_complex_ipde,boltz_complex_iplddt,boltz_complex_pde,boltz_complex_plddt,boltz_confidence_score,boltz_iptm,boltz_ligand_iptm,boltz_protein_iptm,boltz_ptm,confidence_json,dataset,gpu,input_yaml,ligand_file,ligand_heavy_atoms,ligand_smiles,matched_ca,matched_chains,model,mol_id,n_protein_chains,native_ligand_heavy_atoms,output_dir,pocket_ca_rmsd_after_fit,pocket_cutoff_a,pocket_matched_ca,pocket_matched_residues_preview,pred_ligand_heavy_atoms,prediction_cif,protein_lengths,protein_pdb,receptor_ca_rmsd_after_fit,returncode,runtime_sec,status,tag,top_pocket_rmsd_approx,top_pocket_success_2a_approx,top_rmsd_approx,top_success_2a_approx,status_json,stderr_tail,exception,exception_type,failure_class
,,,,,,,,,,astex_diverse,3,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HWI_115/full_r1_s20/inputs/1HWI_115_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,30.0,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,,,boltz1,1HWI_115,4.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HWI_115/full_r1_s20,,,,,,,A:393;B:399;C:374;D:374,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,,0.0,58.598,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1HWI_115/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00,  4.11it/s]
100%|██████████| 1/1 [00:00<00:00,  4.11it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [3]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
,,,,,,,,,,astex_diverse,2,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1JD0_AZM/full_r1_s20/inputs/1JD0_AZM_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1JD0_AZM/1JD0_AZM_ligand.sdf,13.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,,,boltz1,1JD0_AZM,2.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1JD0_AZM/full_r1_s20,,,,,,,A:260;B:259,external/PoseBench/data/astex_diverse_set/1JD0_AZM/1JD0_AZM_protein.pdb,,0.0,61.687,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1JD0_AZM/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00, 14.14it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [2]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
,,,,,,,,,,astex_diverse,7,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1MZC_BNE/full_r1_s20/inputs/1MZC_BNE_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1MZC_BNE/1MZC_BNE_ligand.sdf,35.0,CC[C@@]1(c2cccc(Oc3cc([C@](C)(N)c4cncn4C)ccc3C#N)c2)CCCCN(C)C1=O,,,boltz1,1MZC_BNE,2.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1MZC_BNE/full_r1_s20,,,,,,,A:313;B:407,external/PoseBench/data/astex_diverse_set/1MZC_BNE/1MZC_BNE_protein.pdb,,1.0,88.102,failed_nonzero,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1MZC_BNE/full_r1_s20/run_status.json,"<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  [Previous line repeated 4 more times]
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 930, in _apply
    param_applied = fn(param)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1329, in convert
    return t.to(
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.52 GiB of which 768.00 KiB is free. Process 3425328 has 21.95 GiB memory in use. Including non-PyTorch memory, this process has 1.54 GiB memory in use. Of the allocated memory 1.10 GiB is allocated by PyTorch, and 98.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz"", line 6, in <module>
    sys.exit(cli())
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1157, in __call__
    return self.main(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1078, in main
    rv = self.invoke(ctx)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1688, in invoke
    return _process_result(sub_ctx.command.invoke(sub_ctx))
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1434, in invoke
    return ctx.invoke(self.callback, **ctx.params)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 783, in invoke
    return __callback(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/external/boltz/src/boltz/main.py"", line 1329, in predict
    trainer.predict(
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/trainer.py"", line 859, in predict
    return call._call_and_handle_interrupt(
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/call.py"", line 68, in _call_and_handle_interrupt
    trainer._teardown()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/trainer.py"", line 1005, in _teardown
    self.strategy.teardown()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/strategies/strategy.py"", line 536, in teardown
    self.lightning_module.cpu()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/lightning_fabric/utilities/device_dtype_mixin.py"", line 82, in cpu
    return super().cpu()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1121, in cpu
    return self._apply(lambda t: t.cpu())
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torchmetrics/metric.py"", line 907, in _apply
    _dummy_tensor = fn(torch.zeros(1, device=self.device))
RuntimeError: CUDA error: out of memory
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.

",,,nonzero_cuda_or_gpu_runtime
,,,,,,,,,,astex_diverse,2,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1N1M_A3M/full_r1_s20/inputs/1N1M_A3M_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligand.sdf,12.0,CC(C)[C@H](N)C(=O)N1CCCC1,,,boltz1,1N1M_A3M,2.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1N1M_A3M/full_r1_s20,,,,,,,A:726;B:728,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_protein.pdb,,0.0,92.501,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1N1M_A3M/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00,  4.45it/s]
100%|██████████| 1/1 [00:00<00:00,  4.45it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [2]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
,,,,,,,,,,astex_diverse,7,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1OF6_DTY/full_r1_s20/inputs/1OF6_DTY_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligand.sdf,13.0,N[C@@H](Cc1ccc(O)cc1)C(=O)O,,,boltz1,1OF6_DTY,8.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1OF6_DTY/full_r1_s20,,,,,,,A:350;B:346;C:350;D:349;E:339;F:347;G:342;H:347,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_protein.pdb,,0.0,61.829,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1OF6_DTY/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00,  3.03it/s]
100%|██████████| 1/1 [00:00<00:00,  3.03it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [7]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
,,,,,,,,,,astex_diverse,2,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1Q1G_MTI/full_r1_s20/inputs/1Q1G_MTI_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_ligand.sdf,20.0,CSC[C@H]1[NH2+][C@@H](c2c[nH]c3c(=O)[nH]cnc23)[C@H](O)[C@@H]1O,,,boltz1,1Q1G_MTI,6.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1Q1G_MTI/full_r1_s20,,,,,,,A:243;B:243;C:243;D:243;E:243;F:243,external/PoseBench/data/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_protein.pdb,,0.0,162.697,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1Q1G_MTI/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00, 10.23it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [2]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
,,,,,,,,,,astex_diverse,3,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1U1C_BAU/full_r1_s20/inputs/1U1C_BAU_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1U1C_BAU/1U1C_BAU_ligand.sdf,20.0,O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1,,,boltz1,1U1C_BAU,6.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1U1C_BAU/full_r1_s20,,,,,,,A:253;B:251;C:250;D:242;E:251;F:250,external/PoseBench/data/astex_diverse_set/1U1C_BAU/1U1C_BAU_protein.pdb,,0.0,142.528,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1U1C_BAU/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00,  5.09it/s]
100%|██████████| 1/1 [00:00<00:00,  5.08it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [3]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
,,,,,,,,,,astex_diverse,2,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1W1P_GIO/full_r1_s20/inputs/1W1P_GIO_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1W1P_GIO/1W1P_GIO_ligand.sdf,11.0,O=C1NCC(=O)N2CCC[C@@H]12,,,boltz1,1W1P_GIO,2.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1W1P_GIO/full_r1_s20,,,,,,,A:498;B:498,external/PoseBench/data/astex_diverse_set/1W1P_GIO/1W1P_GIO_protein.pdb,,0.0,83.867,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1W1P_GIO/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00, 10.85it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [2]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
,,,,,,,,,,astex_diverse,3,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1Z95_198/full_r1_s20/inputs/1Z95_198_boltz1.yaml,external/PoseBench/data/astex_diverse_set/1Z95_198/1Z95_198_ligand.sdf,29.0,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,,,boltz1,1Z95_198,1.0,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1Z95_198/full_r1_s20,,,,,,,A:238,external/PoseBench/data/astex_diverse_set/1Z95_198/1Z95_198_protein.pdb,,1.0,65.569,failed_nonzero,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/astex_diverse/1Z95_198/full_r1_s20/run_status.json,"""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  [Previous line repeated 3 more times]
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 930, in _apply
    param_applied = fn(param)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1329, in convert
    return t.to(
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.52 GiB of which 8.75 MiB is free. Process 3624347 has 20.88 GiB memory in use. Including non-PyTorch memory, this process has 2.60 GiB memory in use. Of the allocated memory 2.09 GiB is allocated by PyTorch, and 180.90 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/bin/boltz"", line 6, in <module>
    sys.exit(cli())
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1157, in __call__
    return self.main(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1078, in main
    rv = self.invoke(ctx)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1688, in invoke
    return _process_result(sub_ctx.command.invoke(sub_ctx))
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 1434, in invoke
    return ctx.invoke(self.callback, **ctx.params)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/click/core.py"", line 783, in invoke
    return __callback(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/external/boltz/src/boltz/main.py"", line 1329, in predict
    trainer.predict(
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/trainer.py"", line 859, in predict
    return call._call_and_handle_interrupt(
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/call.py"", line 68, in _call_and_handle_interrupt
    trainer._teardown()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/trainer.py"", line 1005, in _teardown
    self.strategy.teardown()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/strategies/strategy.py"", line 536, in teardown
    self.lightning_module.cpu()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/lightning_fabric/utilities/device_dtype_mixin.py"", line 82, in cpu
    return super().cpu()
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1121, in cpu
    return self._apply(lambda t: t.cpu())
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 903, in _apply
    module._apply(fn)
  File ""<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/torchmetrics/metric.py"", line 907, in _apply
    _dummy_tensor = fn(torch.zeros(1, device=self.device))
RuntimeError: CUDA error: out of memory
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.

",,,nonzero_cuda_or_gpu_runtime
,,,,,,,,,,dockgen,7,results/posebench_702_predictions/boltz1_gpu/dockgen/1v97_1_MTE_1/full_r1_s20/inputs/1v97_1_MTE_1_boltz1.yaml,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_ligand.pdb,24.0,NC1NC(O)[C@@H]2N[C@H]3C(S)C(S)[C@@H](CO[PH](O)(O)O)O[C@H]3NC2N1,,,boltz1,1v97_1_MTE_1,1.0,,results/posebench_702_predictions/boltz1_gpu/dockgen/1v97_1_MTE_1/full_r1_s20,,,,,,,B:1296,external/PoseBench/data/dockgen_set/1v97_1_MTE_1/1v97_1_MTE_1_protein_processed.pdb,,0.0,225.439,failed_no_prediction_cif,full_r1_s20,,,,,results/posebench_702_predictions/boltz1_gpu/dockgen/1v97_1_MTE_1/full_r1_s20/run_status.json,"
  0%|          | 0/1 [00:00<?, ?it/s]
100%|██████████| 1/1 [00:00<00:00,  4.93it/s]
100%|██████████| 1/1 [00:00<00:00,  4.90it/s]
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py:76: Starting from v1.9.0, `tensorboardX` has been removed as a dependency of the `pytorch_lightning` package, due to potential conflicts with other packages in the ML ecosystem. For this reason, `logger=True` will use `CSVLogger` as the default logger, unless the `tensorboard` or `tensorboardX` packages are found. Please `pip install lightning[extra]` or one of them to enable TensorBoard support by default
You are using a CUDA device ('NVIDIA GeForce RTX 4090 D') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [7]
<REMOTE_PROJECT_ROOT>/envs/boltz/lib/python3.10/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:425: The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=383` in the `DataLoader` to improve performance.
",,,no_prediction_after_cuda_failure
