chai1_import_ok,chai_lab_import_ok,chai_lab_source_tree,chai_lab_version,chain_ligand_cutoff,crop_candidate_chains,dataset,device,gpu,gpu_blocker_d_state_boltz_predict_count,gpu_blocker_preview,input_fasta,ligand_file,ligand_heavy_atoms,ligand_sanitize_mode,ligand_smiles,max_total_aa,method,mol_id,n_prediction_cif,n_protein_chains,n_score_npz,output_dir,pocket_chain_crop,prediction_cifs,protein_lengths,protein_pdb,runtime_sec,score_npz,selected_chain_ids,selected_total_aa,status,tag,use_esm_embeddings,status_json,exception,exception_type,failure_class,rescue_recommendation
True,True,True,0.6.1,12.0,D:287:2.797;C:287:5.450;A:287:48.975;B:287:67.640,astex_diverse,cuda:0,1,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/inputs/1HVY_D16_chai.fasta,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,32,sanitized,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,1280,chai1_gpu,1HVY_D16,5.0,2,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,C:287;D:287,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,185.893,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,C;D,574,ok,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,B:399:2.757;A:393:2.804;C:374:15.408;D:374:20.095,astex_diverse,cuda:0,2,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/inputs/1HWI_115_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,30,sanitized,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1280,chai1_gpu,1HWI_115,5.0,2,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,A:393;B:399,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,284.353,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,A;B,792,ok,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:1014:2.426,astex_diverse,,3,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_crop_s5_t200/inputs/1HWW_SWA_chai.fasta,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,12,sanitized,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,1280,chai1_gpu,1HWW_SWA,,1,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_crop_s5_t200,True,,A:1014,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,48.946,,A,1014,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWW_SWA/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,A:221:2.639;D:326:9.730;C:326:13.445;B:216:35.565,astex_diverse,cuda:0,4,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/inputs/1J3J_CP6_chai.fasta,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_ligand.sdf,17,sanitized,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1280,chai1_gpu,1J3J_CP6,5.0,2,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,A:221;D:326,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_protein.pdb,184.643,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,A;D,547,ok,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:726:2.797;B:728:13.704,astex_diverse,cuda:0,5,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/inputs/1N1M_A3M_chai.fasta,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligand.sdf,12,sanitized,CC(C)[C@H](N)C(=O)N1CCCC1,1280,chai1_gpu,1N1M_A3M,5.0,1,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,A:726,external/PoseBench/data/astex_diverse_set/1N1M_A3M/1N1M_A3M_protein.pdb,185.64,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,A,726,ok,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:350:2.515;B:346:2.742;D:349:11.226;C:350:14.915;H:347:33.939;F:347:45.318;G:342:55.037;E:339:57.471,astex_diverse,,4,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_crop_s5_t200/inputs/1OF6_DTY_chai.fasta,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligand.sdf,13,sanitized,N[C@@H](Cc1ccc(O)cc1)C(=O)O,1280,chai1_gpu,1OF6_DTY,,3,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_crop_s5_t200,True,,A:350;B:346;D:349,external/PoseBench/data/astex_diverse_set/1OF6_DTY/1OF6_DTY_protein.pdb,52.934,,A;B;D,1045,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1OF6_DTY/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.21 GiB is free. Including non-PyTorch memory, this process has 22.28 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 111.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
True,True,True,0.6.1,12.0,F:243:2.650;E:243:3.320;A:243:14.471;B:243:18.594;D:243:22.430;C:243:28.725,astex_diverse,cuda:0,6,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/inputs/1Q1G_MTI_chai.fasta,external/PoseBench/data/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_ligand.sdf,20,sanitized,CSC[C@H]1[NH2+][C@@H](c2c[nH]c3c(=O)[nH]cnc23)[C@H](O)[C@@H]1O,1280,chai1_gpu,1Q1G_MTI,5.0,2,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,E:243;F:243,external/PoseBench/data/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_protein.pdb,119.637,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,E;F,486,ok,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,B:553:2.626;A:553:18.362,astex_diverse,cuda:0,7,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/inputs/1Q4G_BFL_chai.fasta,external/PoseBench/data/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_ligand.sdf,17,sanitized,C[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1,1280,chai1_gpu,1Q4G_BFL,5.0,1,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,B:553,external/PoseBench/data/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_protein.pdb,182.053,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,B,553,ok,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,A:302:2.627;C:298:8.547;B:302:18.478;D:304:18.835,astex_diverse,cuda:0,3,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/inputs/1SQ5_PAU_chai.fasta,external/PoseBench/data/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_ligand.sdf,15,sanitized,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,1280,chai1_gpu,1SQ5_PAU,5.0,2,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200,True,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_1.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,A:302;C:298,external/PoseBench/data/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_protein.pdb,181.238,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_1.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz;<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,A;C,600,ok,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/run_status.json,,,ok,manual_inspection
True,True,True,0.6.1,12.0,B:595:2.864;A:583:3.317,astex_diverse,,6,0,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_crop_s5_t200/inputs/1T9B_1CS_chai.fasta,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_ligand.sdf,23,sanitized,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,1280,chai1_gpu,1T9B_1CS,,2,,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_crop_s5_t200,True,,A:583;B:595,external/PoseBench/data/astex_diverse_set/1T9B_1CS/1T9B_1CS_protein.pdb,49.551,,A;B,1178,exception,oracle_pocket_crop_s5_t200,True,results/posebench_702_predictions/chai1_gpu/astex_diverse/1T9B_1CS/oracle_pocket_crop_s5_t200/run_status.json,"The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
  File ""code/__torch__/chai/model/af3/trunk.py"", line 136641, in forward_1536
    _54560 = torch.mul(element11600, CONSTANTS.c0)
    _54561 = torch.reshape(x6973, [_54557, _54559, int(_54560), 1, 1])
    _54562 = torch.masked_fill(v915, _54561, 0)
             ~~~~~~~~~~~~~~~~~ <--- HERE
    o364 = torch.einsum(""abcd,aedbf->aecbf"", [torch.to(_54546, 15), _54562])
    x6974 = torch.mul(g_sigm59, o364)
RuntimeError: CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 23.52 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.30 GiB memory in use. Of the allocated memory 21.75 GiB is allocated by PyTorch, and 131.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",RuntimeError,cuda_oom,retry_default_with_allocator_then_low_sample_rescue
